filename,tagid
0.jpg,"[0, 1, 4]"
1.jpg,"[0, 14, 1, 222, 2]"
10.jpg,"[0, 1, 4, 22]"
100.jpg,"[0, 1]"
1000.jpg,"[0, 1, 14]"
10000.jpg,"[25, 0, 1, 204, 135]"
10001.jpg,"[25, 0, 1, 204]"
10002.jpg,"[0, 1, 14, 42, 222]"
10003.jpg,"[25, 1, 0]"
10004.jpg,"[0, 1, 3, 222]"
10005.jpg,"[0, 1, 142, 123, 11, 222, 410, 512]"
10006.jpg,"[25, 0, 1]"
10007.jpg,"[0, 1, 14]"
10008.jpg,"[0, 1, 7, 2, 54]"
10009.jpg,"[0, 1, 42, 2]"
1001.jpg,"[0, 1, 10, 22]"
10010.jpg,"[0, 1]"
10011.jpg,[0]
10012.jpg,"[0, 1, 52, 14]"
10013.jpg,"[25, 0, 1, 204, 135]"
10014.jpg,"[0, 9, 1, 222]"
10015.jpg,"[0, 1, 11]"
10016.jpg,"[1, 0]"
10017.jpg,"[0, 28, 1, 8, 222]"
10018.jpg,"[0, 1, 9]"
10019.jpg,"[0, 14, 1, 11, 2]"
1002.jpg,"[0, 1]"
10020.jpg,"[0, 1, 28, 222, 49]"
10021.jpg,"[0, 1, 9, 222]"
10022.jpg,"[0, 1, 142, 222, 19, 123, 512]"
10023.jpg,"[8, 0, 1, 9]"
10024.jpg,"[25, 0, 1, 204, 135]"
10025.jpg,"[25, 0, 1]"
10026.jpg,"[0, 1, 14, 222]"
10027.jpg,"[0, 1, 9, 222, 8]"
10028.jpg,"[42, 1, 0, 222, 9, 3]"
10029.jpg,"[0, 1, 9]"
1003.jpg,"[1, 0]"
10030.jpg,"[28, 0, 1, 42]"
10031.jpg,"[0, 1, 9, 222, 17, 2, 617]"
10032.jpg,"[25, 0, 1, 204]"
10033.jpg,"[0, 1, 9]"
10034.jpg,"[0, 1]"
10035.jpg,"[0, 25, 1]"
10036.jpg,"[25, 0, 1]"
10037.jpg,"[0, 1, 9]"
10038.jpg,"[25, 0, 1, 204]"
10039.jpg,"[0, 1]"
1004.jpg,"[0, 1, 222]"
10040.jpg,[]
10041.jpg,"[25, 0, 1, 204]"
10042.jpg,"[0, 28, 1, 62, 222]"
10043.jpg,"[0, 1, 9, 222, 23]"
10044.jpg,"[1, 8, 0, 222, 547]"
10045.jpg,"[0, 1]"
10046.jpg,"[0, 85]"
10047.jpg,"[0, 1, 222, 9, 11]"
10048.jpg,"[0, 8, 1]"
10049.jpg,"[0, 1, 9]"
1005.jpg,"[0, 1, 28]"
10050.jpg,"[25, 0, 1, 204]"
10051.jpg,"[9, 0, 1, 8]"
10052.jpg,"[0, 1]"
10053.jpg,"[1, 0]"
10054.jpg,"[0, 85, 9]"
10055.jpg,"[0, 1, 9]"
10056.jpg,"[1, 0, 25]"
10057.jpg,"[0, 9, 1]"
10058.jpg,[0]
10059.jpg,"[0, 1, 9, 222, 23, 3]"
1006.jpg,"[0, 1, 8, 222, 9]"
10060.jpg,"[0, 1, 9, 11, 10]"
10061.jpg,"[0, 1]"
10062.jpg,"[0, 1, 283, 9]"
10063.jpg,"[0, 14, 1, 92]"
10064.jpg,"[0, 1]"
10065.jpg,"[0, 1]"
10066.jpg,"[0, 1, 222]"
10067.jpg,"[1, 0, 9]"
10068.jpg,"[0, 1, 9, 222]"
10069.jpg,"[0, 1, 14]"
